,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
45,University of Houston - Downtown,6,https://collegedunia.com/usa/college/1427-university-of-houston---downtown-houston,,,37,https://studyabroad.shiksha.com/usa/universities/university-of-houston,,,,,,,,,,,,,12707,Study_Abroad,720,College,,Study_Abroad-College-LS
46,Midwestern State University,24,https://collegedunia.com/usa/college/2202-midwestern-state-university-wichita-falls,,,3,https://studyabroad.shiksha.com/usa/universities/midwestern-state-university,,,,,,,,,,,,,12708,Study_Abroad,720,College,,Study_Abroad-College-LS
47,Rockefeller University,12,https://collegedunia.com/usa/college/1726-rockefeller-university-new-york-city,,,16,https://studyabroad.shiksha.com/usa/universities/rockefeller-university,,,,,,,,,,,,,12709,Study_Abroad,720,College,,Study_Abroad-College-LS
48,Fitchburg State University,14,https://collegedunia.com/usa/college/1305-fitchburg-state-university-fitchburg,,,3,https://studyabroad.shiksha.com/usa/universities/fitchburg-state-university,,,34,https://www.collegedekho.com/usa/fitchburg-state-university/,,,,,,,,,12710,Study_Abroad,720,College,,Study_Abroad-College-LS
49,Tennessee Technological University,9,https://collegedunia.com/usa/college/1199-tennessee-technological-university-cookeville,,,3,https://studyabroad.shiksha.com/usa/universities/tennessee-technological-university,,,30,https://www.collegedekho.com/usa/tennessee-technological-university/,,,,,,,,,12711,Study_Abroad,720,College,,Study_Abroad-College-LS
50,Towson University,9,https://collegedunia.com/usa/college/2123-towson-university-towson,,,,,,,,,,,,,,,,,12712,Study_Abroad,720,College,,Study_Abroad-College-LS
51,Victoria University Australia,5,https://collegedunia.com/australia/college/610-victoria-university-melbourne,,,3,https://studyabroad.shiksha.com/australia/universities/victoria-university,,,20,https://www.collegedekho.com/australia/victoria-university/,,,,,,,,,12713,Study_Abroad,720,College,,Study_Abroad-College-LS
52,East Carolina University,17,https://collegedunia.com/usa/college/1378-east-carolina-university-greenville,,,4,https://studyabroad.shiksha.com/usa/universities/east-carolina-university,,,29,https://www.collegedekho.com/usa/east-carolina-university/,,,,,,,,,12714,Study_Abroad,720,College,,Study_Abroad-College-LS
53,East Carolina University,18,https://collegedunia.com/usa/college/1378-east-carolina-university-greenville,,,4,https://studyabroad.shiksha.com/usa/universities/east-carolina-university,,,29,https://www.collegedekho.com/usa/east-carolina-university/,,,,,,,,,12714,Study_Abroad,720,College,,Study_Abroad-College-LS
54,East Carolina University,19,https://collegedunia.com/usa/college/1378-east-carolina-university-greenville/admission,,,4,https://studyabroad.shiksha.com/usa/universities/east-carolina-university,,,29,https://www.collegedekho.com/usa/east-carolina-university/,,,,,,,,,12714,Study_Abroad,720,College,,Study_Abroad-College-LS
