,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
50,University of Calgary BSc in Environmental Science,8,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-environmental-science-1059,,,20,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,,,,,,,,,,,,,,,16319,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
51,University of Calgary BSc in Neuroscience,6,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-neuroscience-1128,,,15,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/bachelor-of-health-sciences-biomedical-sciences,,,,,,,,,,,,,,,16320,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
52,University of Calgary BSc in Physics,6,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-physics-1135,,,5,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/bachelor-of-science-in-physics,,,,,,,,,,,,,,,16321,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
53,University of Calgary Bachelor of Science in Engineeringin Software Engineering,6,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-software-engineering-1136,,,5,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/bachelor-of-science-in-engineering-in-software-engineering,,,,,,,,,,,,,,,16322,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
54,University of Waterloo BSc in Biochemistry,5,https://collegedunia.com/canada/college/11-university-of-waterloo-waterloo/bachelor-of-science-bsc-biochemistry-1189,,,7,https://studyabroad.shiksha.com/canada/universities/university-of-waterloo/bachelor-of-science-in-biochemistry,,,,,,,,,,,,,,,16323,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
55,University of Waterloo BA in Legal Studies,8,https://collegedunia.com/canada/college/11-university-of-waterloo-waterloo/bachelor-of-arts-ba-legal-studies-1260,,,6,https://studyabroad.shiksha.com/canada/universities/university-of-waterloo/bachelors-in-legal-studies,,,29,https://www.collegedekho.com/study-abroad/universities-llb-in-legal-studies/,,,,,,,,,,,16324,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
56,University of Windsor BSc in Biochemistry,13,https://collegedunia.com/canada/college/12-university-of-windsor-windsor/bachelor-of-science-bsc-biochemistry-1352,,,10,https://studyabroad.shiksha.com/canada/universities/university-of-windsor/bachelor-of-science-honours-in-biochemistry,,,45,https://www.collegedekho.com/study-abroad/universities-biochemistry/,,,,,,,,,14,https://admission.buddy4study.com/course/canada-university-of-windsor-windsor-canada-1535/bachelors-degree-bsc-honours-biology-and-biochemistry-health-and-biomedical-stream-17234,16325,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
57,University of Windsor BSc in Biology,14,https://collegedunia.com/canada/college/12-university-of-windsor-windsor/bachelor-of-science-bsc-biology-1355,,,10,https://studyabroad.shiksha.com/canada/universities/university-of-windsor/bachelor-of-science-honours-in-biology,,,44,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,18,https://admission.buddy4study.com/course/canada-university-of-windsor-windsor-canada-1535/bachelors-degree-bsc-honours-biology-and-biochemistry-health-and-biomedical-stream-17234,16326,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
58,University of Windsor BSc in Biology,14,https://collegedunia.com/canada/college/12-university-of-windsor-windsor/bachelor-of-science-bsc-biology-1355,,,11,https://studyabroad.shiksha.com/canada/universities/university-of-windsor/bachelor-of-science-honours-in-biology,,,44,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,18,https://admission.buddy4study.com/course/canada-university-of-windsor-windsor-canada-1535/bachelors-degree-bsc-honours-biology-and-biochemistry-health-and-biomedical-stream-17234,16326,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
59,University of Windsor BSc in Biology,14,https://collegedunia.com/canada/college/12-university-of-windsor-windsor/bachelor-of-science-bsc-biology-1355,,,12,https://studyabroad.shiksha.com/canada/universities/university-of-windsor/msc-in-biological-sciences,,,44,https://www.collegedekho.com/canada/university-of-windsor/,,,,,,,,,18,https://admission.buddy4study.com/course/canada-university-of-windsor-windsor-canada-1535/bachelors-degree-bsc-honours-biology-and-biochemistry-health-and-biomedical-stream-17234,16326,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
