Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Stevens Institute of Technology,1,TOP SITE,02-12-2021,https://www.stevens.edu/,40,https://collegedunia.com/comparison/1419-stevens-institute-of-technology-vs-1087-massachusetts-institute-of-technology,4,https://studyabroad.shiksha.com/usa/universities/stevens-institute-of-technology,,,53,https://www.collegedekho.com/usa/stevens-institute-of-technology/,,,,,,,12160,Study_Abroad,18100,College,,Study_Abroad-College-HS
National University of Singapore,1,TOP SITE,02-12-2021,https://www.nus.edu.sg/,8,https://collegedunia.com/singapore/college/767-national-university-of-singapore-singapore,4,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,,,,,,,,,,,12161,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of Sydney,1,TOP SITE,02-12-2021,https://www.sydney.edu.au/,19,https://collegedunia.com/australia/college/620-the-university-of-sydney-sydney,4,https://studyabroad.shiksha.com/australia/universities/the-university-of-sydney,,,,,,,,,,,12162,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of Nottingham,1,TOP SITE,02-12-2021,https://www.nottingham.ac.uk/,27,https://collegedunia.com/uk/college/863-university-of-nottingham-nottingham,2,https://studyabroad.shiksha.com/uk/universities/university-of-nottingham,,,23,https://www.collegedekho.com/united-kingdom/university-of-nottingham/,,,,,,,12163,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of Saskatchewan,1,TOP SITE,02-12-2021,https://www.usask.ca/,6,https://collegedunia.com/canada/college/98-university-of-saskatchewan-saskatoon,3,https://studyabroad.shiksha.com/canada/universities/university-of-saskatchewan,,,,,,,,,,,12166,Study_Abroad,18100,College,,Study_Abroad-College-HS
Cardiff University,1,TOP SITE,02-12-2021,https://www.cardiff.ac.uk/,,,3,https://studyabroad.shiksha.com/uk/universities/cardiff-university,,,,,,,,,,,12167,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of Westminster,1,TOP SITE,02-12-2021,https://www.westminster.ac.uk/,31,https://collegedunia.com/uk/college/851-university-of-westminster-london,3,https://studyabroad.shiksha.com/uk/universities/university-of-westminster,,,28,https://www.collegedekho.com/united-kingdom/university-of-westminster/,,,,,,,12168,Study_Abroad,18100,College,,Study_Abroad-College-HS
Northumbria University,1,TOP SITE,02-12-2021,https://www.northumbria.ac.uk/study-at-northumbria/postgraduate-study/,21,https://collegedunia.com/uk/college/860-northumbria-university-newcastle-upon-tyne,3,https://studyabroad.shiksha.com/uk/universities/northumbria-university,,,,,,,,,,,12169,Study_Abroad,18100,College,,Study_Abroad-College-HS
University at Buffalo,1,TOP SITE,02-12-2021,http://www.buffalo.edu/,22,https://collegedunia.com/usa/college/1078-university-at-buffalo-buffalo,3,https://studyabroad.shiksha.com/usa/universities/university-at-buffalo,,,,,,,,,,,12170,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of London,1,TOP SITE,02-12-2021,https://london.ac.uk/,33,https://collegedunia.com/uk/college/2366-university-of-london-london,35,https://studyabroad.shiksha.com/uk/universities-in-london,,,,,,,,,,,12171,Study_Abroad,18100,College,,Study_Abroad-College-HS
