id,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
212,WBJEE Exam Centers,Exams,480,Exam_Centers,WBJEE,Exams
213,WBJEE Exam Pattern,Exams,720,Exam_Pattern,WBJEE,Exams
214,WBJEE Syllabus,Exams,1600,Syllabus,WBJEE,Exams
215,Best books for WBJEE,Exams,320,Books,WBJEE,Exams
216,WBJEE Sample Paper,Exams,480,Practice_Papers,WBJEE,Exams
217,WBJEE Mock Test,Exams,390,Practice_Papers,WBJEE,Exams
218,WBJEE Result,Exams,6600,Result,WBJEE,Exams
219,WBJEE Counselling,Exams,12100,Counselling,WBJEE,Exams
220,WBJEE Cutoffs,Exams,320,Cut_Off,WBJEE,Exams
221,WBJEE Cutoff,Exams,210,Cut_Off,WBJEE,Exams
222,KEAM,Exams,74000,Overview,KEAM,Exams
223,KEAM Exam,Exams,1900,Overview,KEAM,Exams
224,KEAM Application Form,Exams,210,Application,KEAM,Exams
225,KEAM Registration,Exams,4400,Application,KEAM,Exams
226,KEAM Admit Card,Exams,1000,Admit_Card,KEAM,Exams
227,KEAM Exam Dates,Exams,590,Exam_Dates,KEAM,Exams
228,KEAM Exam Pattern,Exams,320,Exam_Pattern,KEAM,Exams
229,KEAM Syllabus,Exams,720,Syllabus,KEAM,Exams
230,KEAM Sample Paper,Exams,260,Practice_Papers,KEAM,Exams
231,KEAM Mock Test,Exams,1000,Practice_Papers,KEAM,Exams
232,KEAM Result,Exams,1600,Result,KEAM,Exams
233,KEAM Cutoff,Exams,260,Cut_Off,KEAM,Exams
234,VITEEE,Exams,49500,Overview,VITEEE,Exams
235,VITEEE Exam,Exams,4400,Overview,VITEEE,Exams
236,VITEEE Application Form,Exams,1900,Application,VITEEE,Exams
237,VITEEE Registration,Exams,590,Application,VITEEE,Exams
238,VITEEE Eligibility,Exams,260,Eligibility,VITEEE,Exams
239,VITEEE Admit Card,Exams,590,Admit_Card,VITEEE,Exams
240,JIPMER ELIGIBILITY,Exams,210,Eligibility,VITEEE,Exams
241,VITEEE Exam Dates,Exams,2400,Exam_Dates,VITEEE,Exams
242,VITEEE Exam Centers,Exams,480,Exam_Centers,VITEEE,Exams
243,VITEEE Exam Pattern,Exams,1900,Exam_Pattern,VITEEE,Exams
244,VITEEE Syllabus,Exams,2900,Syllabus,VITEEE,Exams
245,VITEEE Slot Booking,Exams,6600,Slot_Booking,VITEEE,Exams
246,VITEEE Sample Paper,Exams,2400,Practice_Papers,VITEEE,Exams
247,VITEEE Mock Test,Exams,3600,Practice_Papers,VITEEE,Exams
248,VITEEE Result,Exams,9900,Result,VITEEE,Exams
249,VITEEE Counselling,Exams,1900,Counselling,VITEEE,Exams
250,cat application fee,Exams,480,Fees,VITEEE,Exams
251,VITEEE Cutoff,Exams,2400,Cut_Off,VITEEE,Exams
252,GATE RANK PREDICTOR,Exams,6600,Rank_Predictor,GATE,Exams
253,GATE,Exams,201000,Overview,GATE,Exams
254,GATE ADMIT CARD,Exams,8100,Admit_Card,GATE,Exams
255,GATE SYLLABUS,Exams,22200,Syllabus,GATE,Exams
256,GATE ELIGIBILITY,Exams,4400,Eligibility,GATE,Exams
257,GATE Cut off,Exams,2900,Cut_Off,GATE,Exams
258,GATE RESULT,Exams,9900,Result,GATE,Exams
259,GATE EXAM PATTERN,Exams,5400,Exam_Pattern,GATE,Exams
260,GATE APPLICATION FORM,Exams,3600,Application,GATE,Exams
261,GATE PREPARATION TIPS,Exams,110,Preparation,GATE,Exams
262,GATE Answer Key,Exams,1600,Answer_Key,GATE,Exams
263,GATE Login,Exams,18100,General,GATE,Exams
264,GATE Scholarship,Exams,1600,Scholarship,GATE,Exams
265,GATE Validity,Exams,260,General,GATE,Exams
266,GATE Virtual Calculator,Exams,3600,General,GATE,Exams
267,GATE Mock Test,Exams,2400,Practice_Papers,GATE,Exams
268,GATE question paper,Exams,4400,Question_Paper,GATE,Exams
269,GATE statistics syllabus,Exams,320,Syllabus,GATE,Exams
270,GATE engineering sciences syllabus,Exams,110,Syllabus,GATE,Exams
271,GATE production engineering syllabus,Exams,210,Syllabus,GATE,Exams
272,GATE petroleum engineering syllabus,Exams,140,Syllabus,GATE,Exams
273,GATE agricultural engineering syllabus,Exams,170,Syllabus,GATE,Exams
274,GATE aerospace engineering syllabus,Exams,140,Syllabus,GATE,Exams
275,GATE civil engineering syllabus,Exams,4400,Syllabus,GATE,Exams
276,GATE electronics and communication syllabus,Exams,320,Syllabus,GATE,Exams
277,GATE cse syllabus,Exams,12100,Syllabus,GATE,Exams
278,GATE electrical syllabus,Exams,1300,Syllabus,GATE,Exams
279,GATE chemical engineering syllabus,Exams,1900,Syllabus,GATE,Exams
280,GATE biotechnology syllabus,Exams,1600,Syllabus,GATE,Exams
281,GATE mechanical syllabus,Exams,4400,Syllabus,GATE,Exams
282,GATE life sciences syllabus,Exams,1900,Syllabus,GATE,Exams
283,GATE physics syllabus,Exams,1600,Syllabus,GATE,Exams
284,GATE chemistry syllabus,Exams,1600,Syllabus,GATE,Exams
285,GATE maths syllabus,Exams,1000,Syllabus,GATE,Exams
286,set,Exams,550000,Overview,SET,Exams
287,set application form,Exams,210,Application,SET,Exams
288,set admit card,Exams,880,Admit_Card,SET,Exams
289,set syllabus,Exams,1600,Syllabus,SET,Exams
290,set exam pattern,Exams,390,Exam_Pattern,SET,Exams
291,set result,Exams,2400,Result,SET,Exams
292,cat,Exams,1000000,Overview,CAT,Exams
293,cat eligibility,Exams,3600,Eligibility,CAT,Exams
294,cat eligibility criteria,Exams,1600,Eligibility,CAT,Exams
295,cat admit card,Exams,8100,Admit_Card,CAT,Exams
296,cat exam dates,Exams,8100,Exam_Dates,CAT,Exams
297,cat exam centres,Exams,390,Exam_Centers,CAT,Exams
298,cat syllabus,Exams,49500,Syllabus,CAT,Exams
299,JEE Main Question Paper,Exams,9900,Question_Paper,JEE Main,Exams
300,KMAT,Exams,5400,Overview,KMAT,Exams
301,JEE MAIN PRACTICE PAPERS,Exams,590,Practice_Papers,JEE Main,Exams
302,JEE Main Result,Exams,550000,Result,JEE Main,Exams
303,cat preparation books,Exams,4400,Preparation,CAT,Exams
304,cat coaching centres in chennai,Exams,110,Coaching_center,CAT,Exams
305,cat coaching centres in Hyderabad,Exams,140,Coaching_center,CAT,Exams
306,JEE Main Chemistry Syllabus,Exams,880,Syllabus,JEE Main,Exams
307,cat mock test free,Exams,5400,Practice_Papers,CAT,Exams
308,cat result,Exams,8100,Result,CAT,Exams
309,cat result date,Exams,1600,Result,CAT,Exams
310,JEE Main Cut off,Exams,5400,Cut_Off,JEE Main,Exams
311,cat score vs percentile,Exams,1900,Comparison,CAT,Exams
312,cat answer key,Exams,1300,Answer_Key,CAT,Exams
313,cat topper,Exams,720,General,CAT,Exams
314,cat response sheet,Exams,1300,General,CAT,Exams
315,Iift,Exams,60500,Overview,LIFT,Exams
316,Iift registration,Exams,2400,Application,LIFT,Exams
317,Iift exam date,Exams,4400,Exam_Dates,LIFT,Exams
318,Iift eligibility,Exams,210,Eligibility,LIFT,Exams
319,Iift admit card,Exams,8100,Admit_Card,LIFT,Exams
320,Iift exam centres,Exams,210,Exam_Centers,LIFT,Exams
321,Iift exam pattern,Exams,1600,Exam_Pattern,LIFT,Exams
322,Iift syllabus,Exams,1300,Syllabus,LIFT,Exams
323,Iift mock test,Exams,320,Practice_Papers,LIFT,Exams
324,Iift result,Exams,8100,Result,LIFT,Exams
325,Iift result date,Exams,590,Result,LIFT,Exams
326,xat,Exams,27100,Overview,XAT,Exams
327,xat registration date,Exams,260,Application,XAT,Exams
328,xat admit card,Exams,3600,Admit_Card,XAT,Exams
329,xat eligibility,Exams,390,Eligibility,XAT,Exams
330,xat exam pattern,Exams,1600,Exam_Pattern,XAT,Exams
331,xat syllabus,Exams,2900,Syllabus,XAT,Exams
332,xat mock test,Exams,590,Practice_Papers,XAT,Exams
333,xat result,Exams,6600,Result,XAT,Exams
334,xat answer key,Exams,2900,Answer_Key,XAT,Exams
335,xat cutoff,Exams,1300,Cut_Off,XAT,Exams
336,mat,Exams,110000,Overview,MAT,Exams
337,mat registration,Exams,1900,Application,MAT,Exams
338,mat admit card,Exams,1900,Admit_Card,MAT,Exams
