,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
2440,diploma in supply chain management,3,https://collegedunia.com/courses/diploma-in-supply-chain-management,52,https://www.shiksha.com/business-management-studies/supply-chain-chp,65,https://bschool.careers360.com/colleges/list-of-logistics-and-supply-chain-management-colleges-in-india,75,https://www.collegedekho.com/diploma-logistics_management-colleges-in-india/,,,,,,,,,,,,,,,4098,Courses,480,Course,,Courses
2441,diploma in cinematography,1,https://collegedunia.com/courses/diploma-in-cinematography,3,https://www.shiksha.com/mass-communication-media/film-tv/colleges/diploma-cinematography-colleges-india,6,https://www.careers360.com/courses/cinematography-course,43,https://www.collegedekho.com/articles/top-film-media-schools-in-india-fees-location-and-scope/,,,,,,,,,53,https://www.embibe.com/exams/career-in-cinematography/,64,https://leverageedu.com/blog/cinematography-courses-in-india/,,,4099,Courses,210,Course,,Courses
2442,diploma in cinematography,1,https://collegedunia.com/courses/diploma-in-cinematography,4,https://www.shiksha.com/mass-communication-media/film-tv/colleges/diploma-cinematography-colleges-india,6,https://www.careers360.com/courses/cinematography-course,43,https://www.collegedekho.com/articles/top-film-media-schools-in-india-fees-location-and-scope/,,,,,,,,,53,https://www.embibe.com/exams/career-in-cinematography/,64,https://leverageedu.com/blog/cinematography-courses-in-india/,,,4099,Courses,210,Course,,Courses
2443,diploma in cinematography,1,https://collegedunia.com/courses/diploma-in-cinematography,5,https://www.shiksha.com/mass-communication-media/cinematography-chp,6,https://www.careers360.com/courses/cinematography-course,43,https://www.collegedekho.com/articles/top-film-media-schools-in-india-fees-location-and-scope/,,,,,,,,,53,https://www.embibe.com/exams/career-in-cinematography/,64,https://leverageedu.com/blog/cinematography-courses-in-india/,,,4099,Courses,210,Course,,Courses
2444,diploma in international business,1,https://collegedunia.com/courses/diploma-in-international-business,13,https://studyabroad.shiksha.com/canada/certificate-diploma-in-international-business-courses-sl,71,https://bschool.careers360.com/colleges/list-of-international-business-colleges-in-india,19,https://www.collegedekho.com/diploma-international_business_management-colleges-in-india/,,,,,,,,,,,,,,,4100,Courses,210,Course,,Courses
2445,phd in life science,3,https://collegedunia.com/courses/phd-life-science,,,9,https://university.careers360.com/colleges/list-of-phd-in-biology-universities-in-india,,,,,,,,,,,,,,,,,4101,Courses,390,Course,,Courses
2446,btech food science and technology,1,https://collegedunia.com/courses/bachelor-of-technology-btech-food-science-and-technology,6,https://www.shiksha.com/engineering/food-technology-chp,7,https://www.careers360.com/courses/b-tech-in-food-technology,3,https://www.collegedekho.com/courses/btech-food-technology/,,,,,,,,,,,26,https://leverageedu.com/blog/food-technology-courses/,,,4102,Courses,140,Course,,Courses
2447,btech food science and technology,2,https://collegedunia.com/courses/bachelor-of-technology-btech-food-science,6,https://www.shiksha.com/engineering/food-technology-chp,7,https://www.careers360.com/courses/b-tech-in-food-technology,3,https://www.collegedekho.com/courses/btech-food-technology/,,,,,,,,,,,26,https://leverageedu.com/blog/food-technology-courses/,,,4102,Courses,140,Course,,Courses
2448,certificate in project management,90,https://collegedunia.com/courses/certificate-in-project-management,,,,,,,,,,,,,,,,,,,,,4103,Courses,5400,Course,,Courses
2449,certificate in human resources,6,https://collegedunia.com/courses/certificate-in-human-resources,70,https://www.shiksha.com/business-management-studies/colleges/certificate-human-resources-colleges-india,,,,,,,,,,,,,,,,,,,4104,Courses,260,Course,,Courses
2450,b ed physics,1,https://collegedunia.com/courses/bachelor-of-education-bed-physics,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,4,https://www.collegedekho.com/courses/bed-physical-science/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2451,b ed physics,1,https://collegedunia.com/courses/bachelor-of-education-bed-physics,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,5,https://www.collegedekho.com/courses/bed-physical-science/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2452,b ed physics,1,https://collegedunia.com/courses/bachelor-of-education-bed-physics,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,6,https://www.collegedekho.com/bed-physics_science-colleges-in-kerala/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2453,b ed physics,2,https://collegedunia.com/courses/bachelor-of-education-bed-physics,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,4,https://www.collegedekho.com/courses/bed-physical-science/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2454,b ed physics,2,https://collegedunia.com/courses/bachelor-of-education-bed-physics,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,5,https://www.collegedekho.com/courses/bed-physical-science/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2455,b ed physics,2,https://collegedunia.com/courses/bachelor-of-education-bed-physics,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,6,https://www.collegedekho.com/bed-physics_science-colleges-in-kerala/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2456,b ed physics,3,https://collegedunia.com/courses/bachelor-of-education-bed-physics-colleges-in-india,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,4,https://www.collegedekho.com/courses/bed-physical-science/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2457,b ed physics,3,https://collegedunia.com/courses/bachelor-of-education-bed-physics-colleges-in-india,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,5,https://www.collegedekho.com/courses/bed-physical-science/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2458,b ed physics,3,https://collegedunia.com/courses/bachelor-of-education-bed-physics-colleges-in-india,8,https://www.shiksha.com/tags/b-ed-physics-tdp-731133,20,https://www.careers360.com/university/tezpur-university-tezpur/bsc-and-bed-physics-integrated-course,6,https://www.collegedekho.com/bed-physics_science-colleges-in-kerala/,,,,,99,https://byjus.com/full-form/b-ed-full-form/,,,,,76,https://leverageedu.com/blog/bed-syllabus/,,,4105,Courses,140,Course,,Courses
2459,b ed psychology,1,"https://collegedunia.com/courses/bachelor-of-education-bed-psychology#:~:text=BEd%20Psychology%20is%20a%202,of%20conscious%20and%20unconscious%20phenomena.&text=The%20student%20must%20be%20a,examinations%20to%20pursue%20this%20course.",27,https://www.shiksha.com/humanities-social-sciences/psychology-chp,85,https://www.careers360.com/courses-certifications/articles/15-best-educational-psychology-courses-for-teachers,6,https://www.collegedekho.com/bed-psychology-colleges-in-india/,,,,,,,,,,,,,,,4106,Courses,320,Course,,Courses
