,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
82,Oklahoma City University,21,https://collegedunia.com/usa/college/1789-oklahoma-city-university-oklahoma-city/admission,5,https://studyabroad.shiksha.com/usa/universities/oklahoma-city-university,,,,,,,,,,,,,12738,Study_Abroad,720,College,,Study_Abroad-College-LS
83,University of Regensburg,12,https://collegedunia.com/germany/college/701-university-of-regensburg-regensburg/programs,3,https://studyabroad.shiksha.com/germany/universities/university-of-regensburg,,,,,,,,,,,,,12739,Study_Abroad,720,College,,Study_Abroad-College-LS
84,Harper Adams University,5,https://collegedunia.com/uk/college/2295-harper-adams-university-newport,,,,,,,,,,,,,,,12740,Study_Abroad,720,College,,Study_Abroad-College-LS
85,California Polytechnic State University,11,https://collegedunia.com/usa/college/1999-california-polytechnic-state-university-san-luis-obispo,4,https://studyabroad.shiksha.com/usa/universities/california-polytechnic-state-university,,,28,https://www.collegedekho.com/usa/california-polytechnic-state-university/,,,,,,,,,12742,Study_Abroad,720,College,,Study_Abroad-College-LS
86,Universiti Teknologi Malaysia,9,https://collegedunia.com/malaysia/college/736-universiti-teknologi-malaysia-skudai,4,https://studyabroad.shiksha.com/malaysia/universities/universiti-teknologi-malaysia,,,,,,,,,,,60,https://admission.buddy4study.com/college/malaysia-universiti-teknologi-malaysia-kuala-lumpur-229,12743,Study_Abroad,590,College,,Study_Abroad-College-LS
87,Curtis Institute of Music,12,https://collegedunia.com/usa/college/1830-curtis-institute-of-music-philadelphia,,,,,,,,,,,,,,,12744,Study_Abroad,590,College,,Study_Abroad-College-LS
88,Yale University fees,6,https://collegedunia.com/usa/college/1699-yale-university-new-haven,1,https://studyabroad.shiksha.com/usa/universities/yale-university,,,12,https://www.collegedekho.com/usa/yale-university/,,,,,37,https://leverageedu.com/universities/yale-university,20,https://admission.buddy4study.com/study-abroad/yale-university,12745,Study_Abroad,590,College,,Study_Abroad-College-LS
89,McMaster University fees,6,https://collegedunia.com/canada/college/40-mcmaster-university-hamilton,1,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,,,11,https://www.collegedekho.com/canada/mcmaster-university/,,,,,,,,,12746,Study_Abroad,590,College,,Study_Abroad-College-LS
90,University of Hertfordshire fees,7,https://collegedunia.com/uk/college/819-university-of-hertfordshire-hatfield,6,https://studyabroad.shiksha.com/uk/universities/university-of-hertfordshire,,,11,https://www.collegedekho.com/united-kingdom/university-of-hertfordshire/,,,,,38,https://leverageedu.com/universities/university-of-hertfordshire,,,12747,Study_Abroad,590,College,,Study_Abroad-College-LS
91,University of Calgary fees,7,https://collegedunia.com/canada/college/10-university-of-calgary-calgary,6,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,,,47,https://www.collegedekho.com/canada/university-of-calgary/,,,,,,,,,12748,Study_Abroad,590,College,,Study_Abroad-College-LS
92,New York University fees,6,https://collegedunia.com/usa/college/1713-new-york-university-new-york-city,5,https://studyabroad.shiksha.com/usa/universities/new-york-university,,,9,https://www.collegedekho.com/usa/new-york-university/,,,,,,,,,12749,Study_Abroad,590,College,,Study_Abroad-College-LS
93,Arizona State University fees,9,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,6,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,,,14,https://www.collegedekho.com/usa/arizona-state-university/,,,,,,,,,12750,Study_Abroad,590,College,,Study_Abroad-College-LS
94,Arizona State University fees,9,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,7,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,,,14,https://www.collegedekho.com/usa/arizona-state-university/,,,,,,,,,12750,Study_Abroad,590,College,,Study_Abroad-College-LS
95,Arizona State University fees,9,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,8,https://studyabroad.shiksha.com/usa/universities/arizona-state-university/ms-computer-science,,,14,https://www.collegedekho.com/usa/arizona-state-university/,,,,,,,,,12750,Study_Abroad,590,College,,Study_Abroad-College-LS
96,University of Manchester fees,5,https://collegedunia.com/uk/college/855-university-of-manchester-manchester,4,https://studyabroad.shiksha.com/uk/universities/university-of-manchester,,,9,https://www.collegedekho.com/united-kingdom/university-of-manchester/,,,,,26,https://leverageedu.com/universities/the-university-of-manchester-United%20Kingdom,,,12751,Study_Abroad,590,College,,Study_Abroad-College-LS
97,Manchester University fees,8,https://collegedunia.com/uk/college/855-university-of-manchester-manchester,5,https://studyabroad.shiksha.com/uk/universities/university-of-manchester,,,13,https://www.collegedekho.com/united-kingdom/university-of-manchester/,,,,,65,https://leverageedu.com/blog/university-of-manchester-acceptance-rate/,,,12752,Study_Abroad,590,College,,Study_Abroad-College-LS
98,Manchester University fees,8,https://collegedunia.com/uk/college/855-university-of-manchester-manchester,5,https://studyabroad.shiksha.com/uk/universities/university-of-manchester,,,13,https://www.collegedekho.com/united-kingdom/university-of-manchester/,,,,,66,https://leverageedu.com/blog/university-of-manchester-acceptance-rate/,,,12752,Study_Abroad,590,College,,Study_Abroad-College-LS
99,Manchester University fees,8,https://collegedunia.com/uk/college/855-university-of-manchester-manchester,5,https://studyabroad.shiksha.com/uk/universities/university-of-manchester,,,13,https://www.collegedekho.com/united-kingdom/university-of-manchester/,,,,,67,https://leverageedu.com/blog/cost-of-studying-in-uk-for-indian-students/,,,12752,Study_Abroad,590,College,,Study_Abroad-College-LS
