,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
2143,psc age limit,,,9,https://prepp.in/cgpsc-exam/eligibility,19,https://www.shiksha.com/sarkari-exams/state-psc/articles/wbcs-age-limit-and-wbpsc-elgibility-criteria-see-here-in-detail-blogId-52313,28,https://competition.careers360.com/articles/up-pcs-eligibility-criteria,44,https://www.collegedekho.com/exam/opsc-civil-services-examination/registration-eligibility,,,3,https://byjus.com/free-ias-prep/mppsc-eligibility/,53,https://www.fresherslive.com/articles/kerala-psc-ldc,45,https://www.embibe.com/exams/mppsc-eligibility/,,,,,8703,Prepp,2400,Overview,,Prepp-C1
2144,psc age limit,,,10,https://prepp.in/uppsc-exam/eligibility,19,https://www.shiksha.com/sarkari-exams/state-psc/articles/wbcs-age-limit-and-wbpsc-elgibility-criteria-see-here-in-detail-blogId-52313,28,https://competition.careers360.com/articles/up-pcs-eligibility-criteria,44,https://www.collegedekho.com/exam/opsc-civil-services-examination/registration-eligibility,,,1,https://byjus.com/free-ias-prep/kerala-psc-kas-eligibility/,53,https://www.fresherslive.com/articles/kerala-psc-ldc,45,https://www.embibe.com/exams/mppsc-eligibility/,,,,,8703,Prepp,2400,Overview,,Prepp-C1
2145,psc age limit,,,10,https://prepp.in/uppsc-exam/eligibility,19,https://www.shiksha.com/sarkari-exams/state-psc/articles/wbcs-age-limit-and-wbpsc-elgibility-criteria-see-here-in-detail-blogId-52313,28,https://competition.careers360.com/articles/up-pcs-eligibility-criteria,44,https://www.collegedekho.com/exam/opsc-civil-services-examination/registration-eligibility,,,3,https://byjus.com/free-ias-prep/mppsc-eligibility/,53,https://www.fresherslive.com/articles/kerala-psc-ldc,45,https://www.embibe.com/exams/mppsc-eligibility/,,,,,8703,Prepp,2400,Overview,,Prepp-C1
2146,ugc net books,,,14,https://prepp.in/cbse-ugc-net-exam/books,13,https://www.shiksha.com/sarkari-exams/teaching/articles/best-books-to-prepare-for-ugc-net-paper-i-blogId-33803,10,https://competition.careers360.com/articles/ugc-net-books,23,https://www.collegedekho.com/exam/ugc-net/best-books,,,48,https://byjus.com/cbse/ugc-net-books/,,,4,https://www.embibe.com/exams/ugc-net-books/,73,https://leverageedu.com/blog/pu/ugc-net-books/,,,8710,Prepp,2900,Books,,Prepp-C1
2147,ts tet notification,,,6,https://prepp.in/tstet-exam/tstet-2022,5,https://www.shiksha.com/exams/tstet-exam,92,https://competition.careers360.com/exams/ts-tet,,,,,,,69,https://www.fresherslive.com/education/ts-tet,,,,,,,8711,Prepp,3600,Notification,,Prepp-C1
2148,ts tet notification,,,7,https://prepp.in/tstet-exam/tstet-2022,5,https://www.shiksha.com/exams/tstet-exam,92,https://competition.careers360.com/exams/ts-tet,,,,,,,69,https://www.fresherslive.com/education/ts-tet,,,,,,,8711,Prepp,3600,Notification,,Prepp-C1
2149,ts tet notification,,,8,https://prepp.in/tstet-exam,5,https://www.shiksha.com/exams/tstet-exam,92,https://competition.careers360.com/exams/ts-tet,,,,,,,69,https://www.fresherslive.com/education/ts-tet,,,,,,,8711,Prepp,3600,Notification,,Prepp-C1
2150,best english books,,,68,https://prepp.in/ssc-cgl-exam/books,,,85,https://school.careers360.com/articles/best-reference-books-for-cbse-class-10-english,91,https://www.collegedekho.com/study-abroad/articles/best-books-to-polish-english-language-skills/,,,,,,,,,47,https://leverageedu.com/blog/english-speaking-books/,,,8712,Prepp,2400,Books,,Prepp-C1
2151,sbi po books,,,4,https://prepp.in/sbi-po-exam/books,7,https://www.shiksha.com/exams/sbi-po-exam-books,9,https://competition.careers360.com/articles/sbi-po-preparation-books,19,https://www.collegedekho.com/exam/sbi-po/best-books,63,https://career.aglasem.com/sbi-po-preparation/,2,https://byjus.com/bank-exam/sbi-po-preparation/,,,6,https://www.embibe.com/exams/sbi-po-books/,,,72,https://exam.buddy4study.com/sbi-po-syllabus,8720,Prepp,2900,Books,,Prepp-C1
2152,staff selection commission exam,,,36,https://prepp.in/ssc-cgl-exam/eligibility,17,https://www.shiksha.com/exams/ssc-exam,56,https://news.careers360.com/ssc-announces-new-exam-dates-for-cpo-2019-ssc-chsl-and-ssc-cgl,,,,,6,https://byjus.com/ssc-exams/,80,https://www.fresherslive.com/articles/ssc-exam,,,,,,,8722,Prepp,2400,Admission,,Prepp-C1
2153,mppsc admit card,,,12,https://prepp.in/mppsc-exam/admit-card,,,21,https://competition.careers360.com/articles/mppsc-admit-card,11,https://www.collegedekho.com/exam/mppsc-state-services-exam/admit-card,34,https://career.aglasem.com/mppsc-state-service-exam-admit-card/,,,8,https://www.fresherslive.com/competitive-exams/mppsc-admit-card-102710,20,https://www.embibe.com/exams/mppsc-admit-card/,,,,,8725,Prepp,18100,Admit_Card,,Prepp-C1
2154,mppsc admit card,,,12,https://prepp.in/mppsc-exam/admit-card,,,22,https://competition.careers360.com/articles/mppsc-admit-card,11,https://www.collegedekho.com/exam/mppsc-state-services-exam/admit-card,34,https://career.aglasem.com/mppsc-state-service-exam-admit-card/,,,8,https://www.fresherslive.com/competitive-exams/mppsc-admit-card-102710,20,https://www.embibe.com/exams/mppsc-admit-card/,,,,,8725,Prepp,18100,Admit_Card,,Prepp-C1
2155,mppsc admit card,,,12,https://prepp.in/mppsc-exam/admit-card,,,23,https://news.careers360.com/mppsc-state-service-2021-exam-begins-check-exam-day-guidelines,11,https://www.collegedekho.com/exam/mppsc-state-services-exam/admit-card,34,https://career.aglasem.com/mppsc-state-service-exam-admit-card/,,,8,https://www.fresherslive.com/competitive-exams/mppsc-admit-card-102710,20,https://www.embibe.com/exams/mppsc-admit-card/,,,,,8725,Prepp,18100,Admit_Card,,Prepp-C1
