Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Btech in USA,1,TOP SITE,06-12-2021,https://collegedunia.com/usa/article/study-btech-in-usa-top-colleges-admissions-fees-scholarships-jobs,1,https://collegedunia.com/usa/article/study-btech-in-usa-top-colleges-admissions-fees-scholarships-jobs,2,https://studyabroad.shiksha.com/usa/be-btech-colleges-dc,6,https://studyabroad.careers360.com/articles/top-10-engineering-colleges-in-usa,93,https://www.collegedekho.com/ae/usa/universities-general-engineering-technology/,,,,,,,5,https://leverageedu.com/blog/hi/usa-se-b-tech-kaise-kare/,,,14208,Study_Abroad,390,Course_Guide,,Study_Abroad-part_1
Btech in USA,1,collegedunia.com,06-12-2021,https://collegedunia.com/usa/article/study-btech-in-usa-top-colleges-admissions-fees-scholarships-jobs,1,https://collegedunia.com/usa/article/study-btech-in-usa-top-colleges-admissions-fees-scholarships-jobs,2,https://studyabroad.shiksha.com/usa/be-btech-colleges-dc,6,https://studyabroad.careers360.com/articles/top-10-engineering-colleges-in-usa,93,https://www.collegedekho.com/ae/usa/universities-general-engineering-technology/,,,,,,,5,https://leverageedu.com/blog/hi/usa-se-b-tech-kaise-kare/,,,14208,Study_Abroad,390,Course_Guide,,Study_Abroad-part_1
Masters in supply chain management in UK,1,TOP SITE,06-12-2021,https://www.cranfield.ac.uk/som/masters-courses/logistics-and-supply-chain-management,2,https://collegedunia.com/uk/article/masters-in-supply-chain-management-in-the-uk-colleges-cost-admissions-fundings-jobs,27,https://studyabroad.shiksha.com/uk/mim-in-supply-chain-colleges-ds,,,,,,,,,,,76,https://leverageedu.com/blog/msc-supply-chain-management-uk/,,,14210,Study_Abroad,320,Course_Guide,,Study_Abroad-part_1
Nursing in New Zealand,1,TOP SITE,06-12-2021,https://collegedunia.com/new-zealand/article/study-nursing-in-new-zealand-a-complete-guide-for-international-students,1,https://collegedunia.com/new-zealand/article/study-nursing-in-new-zealand-a-complete-guide-for-international-students,17,https://studyabroad.shiksha.com/top-colleges-offering-nursing-courses-in-new-zealand-articlepage-1957,,,,,,,,,,,,,,,14212,Study_Abroad,210,Course_Guide,,Study_Abroad-part_1
Nursing in New Zealand,1,collegedunia.com,06-12-2021,https://collegedunia.com/new-zealand/article/study-nursing-in-new-zealand-a-complete-guide-for-international-students,1,https://collegedunia.com/new-zealand/article/study-nursing-in-new-zealand-a-complete-guide-for-international-students,17,https://studyabroad.shiksha.com/top-colleges-offering-nursing-courses-in-new-zealand-articlepage-1957,,,,,,,,,,,,,,,14212,Study_Abroad,210,Course_Guide,,Study_Abroad-part_1
Masters in human resource management in Canada,1,TOP SITE,06-12-2021,https://www.mastersportal.com/search/master/human-resource-management/canada,2,https://collegedunia.com/canada/article/masters-in-human-resource-management-in-canada-top-colleges-admissions-fees-funding-jobs,6,https://studyabroad.shiksha.com/canada/universities/university-of-regina/master-of-human-resource-management,,,46,https://www.collegedekho.com/canada/universities-human-resource-management/,,,,,,,,,,,14213,Study_Abroad,320,Course_Guide,,Study_Abroad-part_1
Masters in interior design in UK,1,TOP SITE,06-12-2021,https://www.mastersportal.com/study-options/268927238/interior-design-united-kingdom.html,5,https://collegedunia.com/uk/article/masters-in-interior-design-in-uk-top-colleges-admissions-fees-scholarships-jobs,23,https://studyabroad.shiksha.com/uk/universities/university-of-westminster/interior-design-ma,,,,,,,,,,,57,https://leverageedu.com/blog/mba-in-interior-designing/,,,14214,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
MS in Artificial Intelligence in Germany,1,TOP SITE,06-12-2021,https://collegedunia.com/germany/article/ms-in-artificial-intelligence-in-germany-top-universities-admission-eligibility-fees-scholarships-jobs,1,https://collegedunia.com/germany/article/ms-in-artificial-intelligence-in-germany-top-universities-admission-eligibility-fees-scholarships-jobs,5,https://studyabroad.shiksha.com/germany/ms-in-artificial-intelligence-colleges-ds,,,89,https://www.collegedekho.com/germany/universities-artificial-intelligence/,,,,,,,,,,,14216,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
MS in Artificial Intelligence in Germany,1,collegedunia.com,06-12-2021,https://collegedunia.com/germany/article/ms-in-artificial-intelligence-in-germany-top-universities-admission-eligibility-fees-scholarships-jobs,1,https://collegedunia.com/germany/article/ms-in-artificial-intelligence-in-germany-top-universities-admission-eligibility-fees-scholarships-jobs,5,https://studyabroad.shiksha.com/germany/ms-in-artificial-intelligence-colleges-ds,,,89,https://www.collegedekho.com/germany/universities-artificial-intelligence/,,,,,,,,,,,14216,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
Bachelors in Pharmacy in Canada,1,TOP SITE,06-12-2021,https://collegedunia.com/canada/article/bachelors-in-pharmacy-in-canada-top-colleges-admissions-fees-scholarships-scope,1,https://collegedunia.com/canada/article/bachelors-in-pharmacy-in-canada-top-colleges-admissions-fees-scholarships-scope,6,https://studyabroad.shiksha.com/bachelors-in-pharmacy-courses-in-abroad-sl1343,,,75,https://www.collegedekho.com/articles/list-of-pharmacy-courses-in-india/,,,,,,,27,https://leverageedu.com/blog/masters-in-pharmacy-in-canada/,,,14218,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
Bachelors in Pharmacy in Canada,1,collegedunia.com,06-12-2021,https://collegedunia.com/canada/article/bachelors-in-pharmacy-in-canada-top-colleges-admissions-fees-scholarships-scope,1,https://collegedunia.com/canada/article/bachelors-in-pharmacy-in-canada-top-colleges-admissions-fees-scholarships-scope,6,https://studyabroad.shiksha.com/bachelors-in-pharmacy-courses-in-abroad-sl1343,,,75,https://www.collegedekho.com/articles/list-of-pharmacy-courses-in-india/,,,,,,,27,https://leverageedu.com/blog/masters-in-pharmacy-in-canada/,,,14218,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
Masters in Digital Marketing in Australia,1,TOP SITE,06-12-2021,https://www.mastersportal.com/study-options/271745348/digital-marketing-australia.html,2,https://collegedunia.com/australia/article/masters-in-digital-marketing-in-australia-top-colleges-eligibility-fees-funding-jobs,13,https://studyabroad.shiksha.com/australia/universities/the-university-of-melbourne/master-of-digital-marketing,,,,,,,,,,,88,https://leverageedu.com/blog/masters-in-digital-marketing-in-canada/,,,14219,Study_Abroad,110,Course_Guide,,Study_Abroad-part_1
Masters in clinical psychology in UK,1,TOP SITE,06-12-2021,https://collegedunia.com/uk/article/masters-in-clinical-psychology-in-uk-top-colleges-fees-admissions-scholarships-scope,1,https://collegedunia.com/uk/article/masters-in-clinical-psychology-in-uk-top-colleges-fees-admissions-scholarships-scope,57,https://studyabroad.shiksha.com/uk/universities/university-of-hull/msc-in-clinical-applications-of-psychology,,,,,,,,,,,,,,,14220,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
Masters in clinical psychology in UK,1,collegedunia.com,06-12-2021,https://collegedunia.com/uk/article/masters-in-clinical-psychology-in-uk-top-colleges-fees-admissions-scholarships-scope,1,https://collegedunia.com/uk/article/masters-in-clinical-psychology-in-uk-top-colleges-fees-admissions-scholarships-scope,57,https://studyabroad.shiksha.com/uk/universities/university-of-hull/msc-in-clinical-applications-of-psychology,,,,,,,,,,,,,,,14220,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
Masters in Cyber Security in UK,1,TOP SITE,06-12-2021,https://collegedunia.com/uk/article/masters-in-cyber-security-in-uk-top-colleges-fees-eligibility-scholarships-jobs,1,https://collegedunia.com/uk/article/masters-in-cyber-security-in-uk-top-colleges-fees-eligibility-scholarships-jobs,39,https://studyabroad.shiksha.com/uk/universities/university-of-birmingham/cyber-security-masters-msc,,,,,,,,,,,,,,,14223,Study_Abroad,140,Course_Guide,,Study_Abroad-part_1
Masters in Cyber Security in UK,1,collegedunia.com,06-12-2021,https://collegedunia.com/uk/article/masters-in-cyber-security-in-uk-top-colleges-fees-eligibility-scholarships-jobs,1,https://collegedunia.com/uk/article/masters-in-cyber-security-in-uk-top-colleges-fees-eligibility-scholarships-jobs,39,https://studyabroad.shiksha.com/uk/universities/university-of-birmingham/cyber-security-masters-msc,,,,,,,,,,,,,,,14223,Study_Abroad,140,Course_Guide,,Study_Abroad-part_1
Masters in digital marketing in UK,1,TOP SITE,06-12-2021,https://www.masterstudies.com/MSc/Digital-Marketing/United-Kingdom/,3,https://collegedunia.com/uk/article/masters-in-digital-marketing-in-uk-top-colleges-admissions-fees-scholarships-scope,52,https://studyabroad.shiksha.com/uk/mim-in-marketing-colleges-ds,,,,,,,,,,,89,https://leverageedu.com/blog/hi/uk-me-digital-marketing-course/,,,14224,Study_Abroad,90,Course_Guide,,Study_Abroad-part_1
