Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Bucknell University,1,TOP SITE,06-12-2021,https://www.bucknell.edu/,30,https://collegedunia.com/usa/college/1527-bucknell-university-lewisburg,,,4,https://studyabroad.shiksha.com/usa/universities/bucknell-university,,,,,,,,,,,,,12715,Study_Abroad,720,College,,Study_Abroad-College-LS
University of Missouri Columbia,1,TOP SITE,06-12-2021,https://missouri.edu/,16,https://collegedunia.com/usa/college/1184-university-of-missouri-columbia,,,3,https://studyabroad.shiksha.com/usa/universities/university-of-missouri,,,,,,,,,,,,,12716,Study_Abroad,720,College,,Study_Abroad-College-LS
Mercer University,1,TOP SITE,06-12-2021,https://www.mercer.edu/,14,https://collegedunia.com/usa/college/1579-mercer-university-macon,,,5,https://studyabroad.shiksha.com/usa/universities/mercer-university,,,,,,,,,,,,,12717,Study_Abroad,720,College,,Study_Abroad-College-LS
Drake University,1,TOP SITE,06-12-2021,https://www.drake.edu/,,,,,5,https://studyabroad.shiksha.com/usa/universities/drake-university,,,,,,,,,,,,,12720,Study_Abroad,720,College,,Study_Abroad-College-LS
Fairfield University,1,TOP SITE,06-12-2021,https://www.fairfield.edu/,18,https://collegedunia.com/usa/college/1297-fairfield-university-fairfield,,,3,https://studyabroad.shiksha.com/usa/universities/fairfield-university,,,46,https://www.collegedekho.com/usa/fairfield-university/,,,,,,,,,12721,Study_Abroad,720,College,,Study_Abroad-College-LS
Tennessee State University,1,TOP SITE,06-12-2021,https://www.tnstate.edu/,25,https://collegedunia.com/usa/college/1688-tennessee-state-university-nashville,,,,,,,,,,,,,,,,,12725,Study_Abroad,720,College,,Study_Abroad-College-LS
University of North Carolina Greensboro,1,TOP SITE,06-12-2021,https://www.uncg.edu/,7,https://collegedunia.com/usa/college/1371-university-of-north-carolina-greensboro-greensboro,,,2,https://studyabroad.shiksha.com/usa/universities/university-of-north-carolina-at-greensboro,,,,,,,,,,,,,12726,Study_Abroad,720,College,,Study_Abroad-College-LS
Regent University,1,TOP SITE,06-12-2021,https://www.regent.edu/,14,https://collegedunia.com/usa/college/2155-regent-university-virginia-beach,,,13,https://studyabroad.shiksha.com/uk/universities/regent-s-university-london,,,,,,,,,,,,,12727,Study_Abroad,720,College,,Study_Abroad-College-LS
Gallaudet University,1,TOP SITE,06-12-2021,https://www.gallaudet.edu/,7,https://collegedunia.com/usa/college/2167-gallaudet-university-washington,,,,,,,,,,,,,,,,,12728,Study_Abroad,720,College,,Study_Abroad-College-LS
Middle Tennessee State University,1,TOP SITE,06-12-2021,https://www.mtsu.edu/,38,https://collegedunia.com/usa/college/1682-middle-tennessee-state-university-murfreesboro,,,3,https://studyabroad.shiksha.com/usa/universities/middle-tennessee-state-university,,,,,,,,,,,,,12729,Study_Abroad,720,College,,Study_Abroad-College-LS
Youngstown State University,1,TOP SITE,06-12-2021,https://ysu.edu/,22,https://collegedunia.com/usa/college/2234-youngstown-state-university-youngstown,,,3,https://studyabroad.shiksha.com/usa/universities/youngstown-state-university,,,,,,,,,,,,,12731,Study_Abroad,720,College,,Study_Abroad-College-LS
University of New Orleans,1,TOP SITE,06-12-2021,https://www.uno.edu/,21,https://collegedunia.com/usa/college/1704-university-of-new-orleans-new-orleans,,,3,https://studyabroad.shiksha.com/usa/universities/university-of-new-orleans,,,,,,,,,,,,,12732,Study_Abroad,720,College,,Study_Abroad-College-LS
Western New England University,1,TOP SITE,06-12-2021,https://www1.wne.edu/,15,https://collegedunia.com/usa/college/2056-western-new-england-university-springfield,,,2,https://studyabroad.shiksha.com/usa/universities/western-new-england-university,,,,,,,,,,,,,12733,Study_Abroad,720,College,,Study_Abroad-College-LS
University of Nebraska Omaha,1,TOP SITE,06-12-2021,https://www.unomaha.edu/,22,https://collegedunia.com/usa/college/1796-university-of-nebraska-omaha-omaha,,,4,https://studyabroad.shiksha.com/usa/universities/university-of-nebraska-omaha,,,28,https://www.collegedekho.com/usa/university-of-nebraska-omaha/,,,,,,,,,12736,Study_Abroad,720,College,,Study_Abroad-College-LS
Kettering University,1,TOP SITE,06-12-2021,https://www.kettering.edu/,13,https://collegedunia.com/usa/college/1309-kettering-university-flint,,,4,https://studyabroad.shiksha.com/usa/universities/kettering-university,,,,,,,,,,,,,12737,Study_Abroad,720,College,,Study_Abroad-College-LS
Oklahoma City University,1,TOP SITE,06-12-2021,https://www.okcu.edu/,22,https://collegedunia.com/usa/college/1789-oklahoma-city-university-oklahoma-city/admission,,,2,https://studyabroad.shiksha.com/usa/universities/oklahoma-city-university,,,,,,,,,,,,,12738,Study_Abroad,720,College,,Study_Abroad-College-LS
California Polytechnic State University,1,TOP SITE,06-12-2021,https://www.calpoly.edu/,13,https://collegedunia.com/usa/college/1999-california-polytechnic-state-university-san-luis-obispo,,,3,https://studyabroad.shiksha.com/usa/universities/california-polytechnic-state-university,,,37,https://www.collegedekho.com/usa/california-polytechnic-state-university/,,,,,,,,,12742,Study_Abroad,720,College,,Study_Abroad-College-LS
Universiti Teknologi Malaysia,1,TOP SITE,06-12-2021,https://www.utm.my/,7,https://collegedunia.com/malaysia/college/736-universiti-teknologi-malaysia-skudai/admission,,,4,https://studyabroad.shiksha.com/malaysia/universities/universiti-teknologi-malaysia,,,,,,,,,,,,,12743,Study_Abroad,590,College,,Study_Abroad-College-LS
Curtis Institute of Music,1,TOP SITE,06-12-2021,https://www.curtis.edu/,16,https://collegedunia.com/usa/college/1830-curtis-institute-of-music-philadelphia,,,,,,,,,,,,,,,,,12744,Study_Abroad,590,College,,Study_Abroad-College-LS
Yale University fees,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/usa/universities/yale-university,3,https://collegedunia.com/usa/college/1699-yale-university-new-haven,,,1,https://studyabroad.shiksha.com/usa/universities/yale-university,,,9,https://www.collegedekho.com/usa/yale-university/course-fees/,,,,,30,https://leverageedu.com/universities/yale-university,23,https://admission.buddy4study.com/study-abroad/yale-university,12745,Study_Abroad,590,College,,Study_Abroad-College-LS
Yale University fees,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/usa/universities/yale-university,3,https://collegedunia.com/usa/college/1699-yale-university-new-haven,,,1,https://studyabroad.shiksha.com/usa/universities/yale-university,,,9,https://www.collegedekho.com/usa/yale-university/course-fees/,,,,,30,https://leverageedu.com/universities/yale-university,23,https://admission.buddy4study.com/study-abroad/yale-university,12745,Study_Abroad,590,College,,Study_Abroad-College-LS
McMaster University fees,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,3,https://collegedunia.com/canada/college/40-mcmaster-university-hamilton,,,1,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,,,6,https://www.collegedekho.com/canada/mcmaster-university/,,,,,,,,,12746,Study_Abroad,590,College,,Study_Abroad-College-LS
McMaster University fees,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,3,https://collegedunia.com/canada/college/40-mcmaster-university-hamilton,,,1,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,,,6,https://www.collegedekho.com/canada/mcmaster-university/,,,,,,,,,12746,Study_Abroad,590,College,,Study_Abroad-College-LS
University of Calgary fees,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,3,https://collegedunia.com/canada/college/10-university-of-calgary-calgary,,,1,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,,,,,,,,,,,,,12748,Study_Abroad,590,College,,Study_Abroad-College-LS
University of Calgary fees,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,3,https://collegedunia.com/canada/college/10-university-of-calgary-calgary,,,1,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,,,,,,,,,,,,,12748,Study_Abroad,590,College,,Study_Abroad-College-LS
Arizona State University fees,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,3,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,,,1,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,,,7,https://www.collegedekho.com/usa/arizona-state-university/,,,,,,,,,12750,Study_Abroad,590,College,,Study_Abroad-College-LS
Arizona State University fees,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,3,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,,,1,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,,,7,https://www.collegedekho.com/usa/arizona-state-university/,,,,,,,,,12750,Study_Abroad,590,College,,Study_Abroad-College-LS
