,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
1063,MSc/masters in business analytics in UK,1,https://collegedunia.com/uk/article/masters-in-business-analytics-in-uk-course-guide-for-international-students,66,https://studyabroad.shiksha.com/uk/universities/imperial-college/msc-business-analytics,,,,,,,,,,,,,,,13989,Study_Abroad,480,Course_Guide,,Study_Abroad-part_1
1064,MSc/masters in business analytics in UK,1,https://collegedunia.com/uk/article/masters-in-business-analytics-in-uk-course-guide-for-international-students,67,https://studyabroad.shiksha.com/uk/universities/university-of-west-london/msc-business-analytics,,,,,,,,,,,,,,,13989,Study_Abroad,480,Course_Guide,,Study_Abroad-part_1
1065,Master in civil engineering in UK,3,https://collegedunia.com/uk/article/master-in-civil-engineering-in-uk,2,https://studyabroad.shiksha.com/uk/ms-in-civil-engineering-colleges-ds,,,,,,,,,,,93,https://leverageedu.com/blog/best-engineering-courses-for-future/,,,13990,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
1066,BBA in Canada,2,https://collegedunia.com/canada/article/reasons-to-get-a-bba-degree-from-canada-eligibility-specialisations-career-prospects,1,https://studyabroad.shiksha.com/canada/bba-colleges-dc,69,https://www.careers360.com/question-in-which-month-bba-admissions-will-start-in-canada,31,https://www.collegedekho.com/study-abroad/articles/study-bba-abroad-after-class-12/,,,,,,,5,https://leverageedu.com/blog/bba-in-canada/,,,13991,Study_Abroad,1300,Course_Guide,,Study_Abroad-part_1
1067,Masters in electrical engineering in Australia,1,https://collegedunia.com/australia/article/masters-in-electrical-engineering-in-australia-course-guide-for-international-students,8,https://studyabroad.shiksha.com/australia/ms-in-electronics-electrical-engineering-colleges-ds,,,38,https://www.collegedekho.com/australia/universities-masters-in-electrical-engineering/,,,,,,,78,https://leverageedu.com/blog/best-engineering-courses-for-future/,,,13992,Study_Abroad,40,Course_Guide,,Study_Abroad-part_1
1068,Masters in electrical engineering in Australia,1,https://collegedunia.com/australia/article/masters-in-electrical-engineering-in-australia-course-guide-for-international-students,9,https://studyabroad.shiksha.com/australia/ms-in-electronics-electrical-engineering-colleges-ds,,,38,https://www.collegedekho.com/australia/universities-masters-in-electrical-engineering/,,,,,,,78,https://leverageedu.com/blog/best-engineering-courses-for-future/,,,13992,Study_Abroad,40,Course_Guide,,Study_Abroad-part_1
1069,Masters in electrical engineering in Australia,1,https://collegedunia.com/australia/article/masters-in-electrical-engineering-in-australia-course-guide-for-international-students,10,https://studyabroad.shiksha.com/top-10-colleges-for-electrical-engineering-in-australia-articlepage-516,,,38,https://www.collegedekho.com/australia/universities-masters-in-electrical-engineering/,,,,,,,78,https://leverageedu.com/blog/best-engineering-courses-for-future/,,,13992,Study_Abroad,40,Course_Guide,,Study_Abroad-part_1
1070,Masters in hotel management in Australia,1,https://collegedunia.com/australia/article/masters-in-hotel-management-in-australia-a-complete-guide,9,https://studyabroad.shiksha.com/australia/mba-in-hospitality-colleges-ds,,,,,,,,,,,13,https://leverageedu.com/blog/hotel-management-colleges-in-australia/,,,13993,Study_Abroad,110,Course_Guide,,Study_Abroad-part_1
1071,Masters in information systems in Canada,1,https://collegedunia.com/canada/article/masters-in-information-systems-in-canada-a-detailed-course-guide,11,https://studyabroad.shiksha.com/canada/ms-in-it-networking-colleges-ds,,,,,,,,,,,16,https://leverageedu.com/blog/mis-in-canada/,,,13994,Study_Abroad,210,Course_Guide,,Study_Abroad-part_1
1072,BBA in Singapore,1,https://collegedunia.com/singapore/article/reasons-to-get-a-bba-degree-from-singapore-eligibility-scholarship-salaries,2,https://studyabroad.shiksha.com/singapore/bachelors-of-business-colleges-cl,24,https://www.careers360.com/colleges/sp-jain-school-of-global-management-singapore/bba-course,15,https://www.collegedekho.com/ae/singapore/universities-bba/,,,,,,,71,https://leverageedu.com/blog/study-in-singapore-after-12th/,,,13995,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
