,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
67,University at Buffalo,16,https://collegedunia.com/usa/college/1078-university-at-buffalo-buffalo,4,https://studyabroad.shiksha.com/usa/universities/university-at-buffalo,,,,,,,,,,,12170,Study_Abroad,18100,College,,Study_Abroad-College-HS
68,University of London,16,https://collegedunia.com/uk/college/2366-university-of-london-london,28,https://studyabroad.shiksha.com/uk/universities-in-london,,,,,,,78,https://leverageedu.com/universities/university-college-london,,,12171,Study_Abroad,18100,College,,Study_Abroad-College-HS
69,University of London,16,https://collegedunia.com/uk/college/2366-university-of-london-london,29,https://studyabroad.shiksha.com/uk/universities-in-london,,,,,,,78,https://leverageedu.com/universities/university-college-london,,,12171,Study_Abroad,18100,College,,Study_Abroad-College-HS
70,University of London,16,https://collegedunia.com/uk/college/2366-university-of-london-london,30,https://studyabroad.shiksha.com/uk/universities/university-college-london,,,,,,,78,https://leverageedu.com/universities/university-college-london,,,12171,Study_Abroad,18100,College,,Study_Abroad-College-HS
71,Middlesex University,12,https://collegedunia.com/uk/college/842-middlesex-university-london,7,https://studyabroad.shiksha.com/uk/universities/middlesex-university,,,56,https://www.collegedekho.com/uae/middlesex-university-dubai/,,,,,,,12172,Study_Abroad,18100,College,,Study_Abroad-College-HS
72,Nottingham Trent University,15,https://collegedunia.com/uk/college/862-nottingham-trent-university-nottingham,4,https://studyabroad.shiksha.com/uk/universities/nottingham-trent-university,,,31,https://www.collegedekho.com/united-kingdom/nottingham-trent-university/,,,,,,,12173,Study_Abroad,18100,College,,Study_Abroad-College-HS
73,Nottingham Trent University,16,https://collegedunia.com/uk/college/862-nottingham-trent-university-nottingham,4,https://studyabroad.shiksha.com/uk/universities/nottingham-trent-university,,,31,https://www.collegedekho.com/united-kingdom/nottingham-trent-university/,,,,,,,12173,Study_Abroad,18100,College,,Study_Abroad-College-HS
74,Brunel University,16,https://collegedunia.com/uk/college/878-brunel-university-london,3,https://studyabroad.shiksha.com/uk/universities/brunel-university,,,,,,,42,https://leverageedu.com/blog/reasons-to-study-at-brunel-university/,,,12174,Study_Abroad,18100,College,,Study_Abroad-College-HS
75,Brunel University,16,https://collegedunia.com/uk/college/878-brunel-university-london,3,https://studyabroad.shiksha.com/uk/universities/brunel-university,,,,,,,43,https://leverageedu.com/blog/reasons-to-study-at-brunel-university/,,,12174,Study_Abroad,18100,College,,Study_Abroad-College-HS
76,Brunel University,16,https://collegedunia.com/uk/college/878-brunel-university-london,3,https://studyabroad.shiksha.com/uk/universities/brunel-university,,,,,,,44,https://leverageedu.com/blog/brunel-university-acceptance-rate/,,,12174,Study_Abroad,18100,College,,Study_Abroad-College-HS
