,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
450,diploma in printing technology,1,https://collegedunia.com/courses/diploma-in-printing-technology,11,https://www.shiksha.com/college/delhi-skill-and-entrepreneurship-university-pusa-campus-pusa-road-97271/course-diploma-in-printing-technology-504225,5,https://www.careers360.com/courses/printing-technology-course,72,https://www.collegedekho.com/diploma-printing-colleges-in-maharashtra/,,,,,,,,,,,,,,,3317,Courses,480,Course,,Courses
451,diploma in production engineering,1,https://collegedunia.com/courses/diploma-in-production-engineering,3,https://www.shiksha.com/engineering/production-engineering-chp,2,https://engineering.careers360.com/colleges/list-of-diploma-in-production-engineering-colleges-in-india,11,https://www.collegedekho.com/diploma-production_engineering-colleges-in-tamil-nadu/,,,,,,,,,71,https://www.embibe.com/exams/career-as-production-engineer/,,,,,3318,Courses,140,Course,,Courses
452,post graduate diploma in supply chain management,5,https://collegedunia.com/courses/post-graduate-diploma-in-logistics-and-supply-chain-management-pgdlscm,24,https://www.shiksha.com/college/all-india-institute-of-management-studies-mandaveli-rd-chennai-21979/course-post-graduate-diploma-in-logistics-and-supply-chain-management-33175,10,https://bschool.careers360.com/colleges/list-of-pgd-in-logistics-and-supply-chain-management-colleges-in-india,37,https://www.collegedekho.com/courses/pg-diploma-supply-chain-logistics-management/,,,,,,,,,,,,,,,3319,Courses,210,Course,,Courses
453,post graduate diploma in supply chain management,6,https://collegedunia.com/courses/post-graduate-diploma-in-logistics-and-supply-chain-management-pgdlscm,24,https://www.shiksha.com/college/all-india-institute-of-management-studies-mandaveli-rd-chennai-21979/course-post-graduate-diploma-in-logistics-and-supply-chain-management-33175,10,https://bschool.careers360.com/colleges/list-of-pgd-in-logistics-and-supply-chain-management-colleges-in-india,37,https://www.collegedekho.com/courses/pg-diploma-supply-chain-logistics-management/,,,,,,,,,,,,,,,3319,Courses,210,Course,,Courses
454,post graduate diploma in supply chain management,7,https://collegedunia.com/courses/post-graduate-diploma-in-supply-chain-management,24,https://www.shiksha.com/college/all-india-institute-of-management-studies-mandaveli-rd-chennai-21979/course-post-graduate-diploma-in-logistics-and-supply-chain-management-33175,10,https://bschool.careers360.com/colleges/list-of-pgd-in-logistics-and-supply-chain-management-colleges-in-india,37,https://www.collegedekho.com/courses/pg-diploma-supply-chain-logistics-management/,,,,,,,,,,,,,,,3319,Courses,210,Course,,Courses
455,B.Pharm + MBA,1,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharm-master-of-business-administration-mba,8,https://www.shiksha.com/medicine-health-sciences/pharmacy/course/b-pharm-mba-in-pharmaceutical-technology-school-of-pharmacy-and-technology-management-nmims-shirpur-281866,4,https://bschool.careers360.com/articles/mba-after-b-pharm,3,https://www.collegedekho.com/courses/bpharm-mba-integrated/,,,,,,,,,,,12,https://leverageedu.com/blog/mba-after-b-pharmacy/,,,3320,Courses,210,Course,,Courses
456,B.Pharm + MBA,1,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharm-master-of-business-administration-mba,8,https://www.shiksha.com/medicine-health-sciences/pharmacy/course/b-pharm-mba-in-pharmaceutical-technology-school-of-pharmacy-and-technology-management-nmims-shirpur-281866,5,https://bschool.careers360.com/articles/mba-after-b-pharm,3,https://www.collegedekho.com/courses/bpharm-mba-integrated/,,,,,,,,,,,12,https://leverageedu.com/blog/mba-after-b-pharmacy/,,,3320,Courses,210,Course,,Courses
457,B.Pharm + MBA,1,https://collegedunia.com/courses/bachelor-of-pharmacy-bpharm-master-of-business-administration-mba,8,https://www.shiksha.com/medicine-health-sciences/pharmacy/course/b-pharm-mba-in-pharmaceutical-technology-school-of-pharmacy-and-technology-management-nmims-shirpur-281866,6,https://pharmacy.careers360.com/colleges/list-of-dual-degree-pharmacy-colleges-in-india,3,https://www.collegedekho.com/courses/bpharm-mba-integrated/,,,,,,,,,,,12,https://leverageedu.com/blog/mba-after-b-pharmacy/,,,3320,Courses,210,Course,,Courses
458,masters in international business (mib),2,https://collegedunia.com/courses/master-of-international-business-mib,30,https://studyabroad.shiksha.com/france/universities/ieseg-school-of-management/master-of-science-in-international-business-mib,,,77,https://www.collegedekho.com/courses/master-of-international-business/,,,,,,,,,,,,,,,3321,Courses,1600,Course,,Courses
459,masters in international business (mib),3,https://collegedunia.com/courses/master-of-international-business-mib,30,https://studyabroad.shiksha.com/france/universities/ieseg-school-of-management/master-of-science-in-international-business-mib,,,77,https://www.collegedekho.com/courses/master-of-international-business/,,,,,,,,,,,,,,,3321,Courses,1600,Course,,Courses
460,masters in international business (mib),4,https://collegedunia.com/courses/master-in-international-business-mib,30,https://studyabroad.shiksha.com/france/universities/ieseg-school-of-management/master-of-science-in-international-business-mib,,,77,https://www.collegedekho.com/courses/master-of-international-business/,,,,,,,,,,,,,,,3321,Courses,1600,Course,,Courses
461,mfa degree,6,https://collegedunia.com/courses/master-of-fine-arts-mfa,3,https://www.shiksha.com/mfa-master-of-fine-arts-chp,9,https://www.careers360.com/courses/mfa-master-of-fine-arts,10,https://www.collegedekho.com/courses/master-of-fine-arts-mfa/,,,,,,,,,,,85,https://leverageedu.com/blog/mfa-degree/,,,3322,Courses,1600,Course,,Courses
462,ma public administration,1,https://collegedunia.com/courses/master-of-arts-ma-public-administration,15,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-public-administration-colleges-india,51,https://www.careers360.com/university/himachal-pradesh-university-shimla/ma-public-administration-course,2,https://www.collegedekho.com/courses/ma-public-administration/,,,,,,,,,,,,,,,3323,Courses,1900,Course,,Courses
463,ma public administration,1,https://collegedunia.com/courses/master-of-arts-ma-public-administration,15,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-public-administration-colleges-india,52,https://www.careers360.com/university/himachal-pradesh-university-shimla/ma-public-administration-course,2,https://www.collegedekho.com/courses/ma-public-administration/,,,,,,,,,,,,,,,3323,Courses,1900,Course,,Courses
464,ma public administration,1,https://collegedunia.com/courses/master-of-arts-ma-public-administration,15,https://www.shiksha.com/humanities-social-sciences/colleges/m-a-public-administration-colleges-india,53,https://www.careers360.com/university/utkal-university-bhubaneswar/ma-public-administration-course,2,https://www.collegedekho.com/courses/ma-public-administration/,,,,,,,,,,,,,,,3323,Courses,1900,Course,,Courses
465,m tech in computer science,4,https://collegedunia.com/courses/master-of-technology-mtech-computer-science,51,https://www.shiksha.com/engineering/colleges/m-tech-computer-science-engineering-colleges-india,14,https://engineering.careers360.com/colleges/list-of-me-mtech-in-computer-science-engineering-colleges-in-india,1,"https://www.collegedekho.com/courses/mtech-computer-science-engineering/#:~:text=Computer%20Science%20(CSE)-,M.,duration%2C%20divided%20into%20four%20semesters.&text=Tech%20in%20Computer%20Science%20Engineering%20course%20include%20Network%2C%20System%20Integration,Systems%2C%20and%20the%20Digital%20Systems.",,,,,,,,,,,20,https://leverageedu.com/blog/mtech-computer-science/,,,3324,Courses,1900,Course,,Courses
466,m tech in computer science,4,https://collegedunia.com/courses/master-of-technology-mtech-computer-science,51,https://www.shiksha.com/engineering/colleges/m-tech-computer-science-engineering-colleges-india,14,https://engineering.careers360.com/colleges/list-of-me-mtech-in-computer-science-engineering-colleges-in-india,2,"https://www.collegedekho.com/courses/mtech-computer-science-engineering/#:~:text=Computer%20Science%20(CSE)-,M.,duration%2C%20divided%20into%20four%20semesters.&text=Tech%20in%20Computer%20Science%20Engineering%20course%20include%20Network%2C%20System%20Integration,Systems%2C%20and%20the%20Digital%20Systems.",,,,,,,,,,,20,https://leverageedu.com/blog/mtech-computer-science/,,,3324,Courses,1900,Course,,Courses
467,m tech in computer science,5,https://collegedunia.com/courses/master-of-technology-mtech-computer-science,51,https://www.shiksha.com/engineering/colleges/m-tech-computer-science-engineering-colleges-india,14,https://engineering.careers360.com/colleges/list-of-me-mtech-in-computer-science-engineering-colleges-in-india,1,"https://www.collegedekho.com/courses/mtech-computer-science-engineering/#:~:text=Computer%20Science%20(CSE)-,M.,duration%2C%20divided%20into%20four%20semesters.&text=Tech%20in%20Computer%20Science%20Engineering%20course%20include%20Network%2C%20System%20Integration,Systems%2C%20and%20the%20Digital%20Systems.",,,,,,,,,,,20,https://leverageedu.com/blog/mtech-computer-science/,,,3324,Courses,1900,Course,,Courses
468,m tech in computer science,5,https://collegedunia.com/courses/master-of-technology-mtech-computer-science,51,https://www.shiksha.com/engineering/colleges/m-tech-computer-science-engineering-colleges-india,14,https://engineering.careers360.com/colleges/list-of-me-mtech-in-computer-science-engineering-colleges-in-india,2,"https://www.collegedekho.com/courses/mtech-computer-science-engineering/#:~:text=Computer%20Science%20(CSE)-,M.,duration%2C%20divided%20into%20four%20semesters.&text=Tech%20in%20Computer%20Science%20Engineering%20course%20include%20Network%2C%20System%20Integration,Systems%2C%20and%20the%20Digital%20Systems.",,,,,,,,,,,20,https://leverageedu.com/blog/mtech-computer-science/,,,3324,Courses,1900,Course,,Courses
469,m tech in computer science,6,https://collegedunia.com/courses/master-of-technology-mtech-computer-science-and-engineering,51,https://www.shiksha.com/engineering/colleges/m-tech-computer-science-engineering-colleges-india,14,https://engineering.careers360.com/colleges/list-of-me-mtech-in-computer-science-engineering-colleges-in-india,1,"https://www.collegedekho.com/courses/mtech-computer-science-engineering/#:~:text=Computer%20Science%20(CSE)-,M.,duration%2C%20divided%20into%20four%20semesters.&text=Tech%20in%20Computer%20Science%20Engineering%20course%20include%20Network%2C%20System%20Integration,Systems%2C%20and%20the%20Digital%20Systems.",,,,,,,,,,,20,https://leverageedu.com/blog/mtech-computer-science/,,,3324,Courses,1900,Course,,Courses
