,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
663,rrc group d syllabus,,,19,https://prepp.in/rrb-group-d-exam,3,https://www.shiksha.com/exams/rrb-group-d-exam-syllabus,71,https://competition.careers360.com/articles/rrb-group-d-syllabus,,,66,https://admission.aglasem.com/rrb-group-d-2020-preparation-exam-pattern-syllabus-time-question/,,,,,9,https://www.embibe.com/exams/rrc-group-d-syllabus/,,,,,7144,Prepp,27100,Syllabus,,Prepp-C2
664,rrc group d syllabus,,,19,https://prepp.in/rrb-group-d-exam,3,https://www.shiksha.com/exams/rrb-group-d-exam-syllabus,71,https://competition.careers360.com/articles/rrb-group-d-syllabus,,,66,https://admission.aglasem.com/rrb-group-d-2020-preparation-exam-pattern-syllabus-time-question/,,,,,10,https://www.embibe.com/exams/rrb-group-d-syllabus-and-exam-pattern/,,,,,7144,Prepp,27100,Syllabus,,Prepp-C2
665,iaf recruitment,,,20,https://prepp.in/iaf-group-c-exam,,,,,,,63,https://career.aglasem.com/indian-air-force-airmen/,,,54,https://www.fresherslive.com/iaf-indian-air-force-recruitment,17,https://www.embibe.com/exams/join-indian-air-force/,,,,,7147,Prepp,60500,Recruitment,,Prepp-C2
666,ssc mts results date,,,5,https://prepp.in/ssc-mts-exam/results,6,https://www.shiksha.com/exams/ssc-mts-exam-results,17,https://competition.careers360.com/articles/ssc-mts-result,,,37,https://career.aglasem.com/ssc-mts-2019/,7,https://byjus.com/ssc-exams/ssc-mts-result/,101,https://www.fresherslive.com/articles/ssc-mts-result,2,https://www.embibe.com/exams/ssc-mts-result/,,,,,7157,Prepp,110,Result,,Prepp-C2
667,jpsc result,,,18,https://prepp.in/jpsc-exam/results,,,97,https://news.careers360.com/jpsc-assistant-engineer-result-2019-20-declared-check-here,,,19,https://news.aglasem.com/jpsc-revised-answer-key-2021-released-check-expected-result-date-and-past-5-year-cut-offs/,13,https://byjus.com/free-ias-prep/jpsc-result/,7,https://www.fresherslive.com/competitive-exams/jpsc-result-103747,57,https://www.embibe.com/exams/jpsc-result-announced-at-jpsc-gov-in-nearly-326-qualified-in-jpsc-6-exam/,,,,,7185,Prepp,480,Result,,Prepp-C2
668,UPTET results,,,4,https://prepp.in/uptet-exam/results,5,https://www.shiksha.com/exams/uptet-exam-results,8,https://competition.careers360.com/articles/uptet-result,19,https://www.collegedekho.com/exam/uptet/cut-off-results,33,https://career.aglasem.com/uptet-result/,,,81,https://www.fresherslive.com/competitive-exams/uptet-result-103410/answer-key,9,https://www.embibe.com/exams/uptet-result/,,,,,7190,Prepp,1900,Result,,Prepp-C2
669,uptet previous year paper,,,7,https://prepp.in/uptet-exam/practice-papers,63,https://www.shiksha.com/exams/uptet-exam-question-papers,12,https://competition.careers360.com/articles/uptet-question-papers,,,13,https://career.aglasem.com/uptet-papers/,,,,,,,,,,,7191,Prepp,2400,Question_Paper,,Prepp-C2
670,SSC CGL Vacancy,,,7,https://prepp.in/ssc-cgl-exam/vacancy,12,https://www.shiksha.com/exams/ssc-cgl-exam-vacancies,,,,,,,4,https://byjus.com/ssc-exams/ssc-cgl-notification/,,,14,https://www.embibe.com/exams/ssc-cgl-recruitment/,,,,,7192,Prepp,1900,Vacancy,,Prepp-C2
671,SSC CGL Vacancy,,,8,https://prepp.in/ssc-cgl-exam/vacancy,12,https://www.shiksha.com/exams/ssc-cgl-exam-vacancies,,,,,,,4,https://byjus.com/ssc-exams/ssc-cgl-notification/,,,14,https://www.embibe.com/exams/ssc-cgl-recruitment/,,,,,7192,Prepp,1900,Vacancy,,Prepp-C2
672,SSC CGL Vacancy,,,9,https://prepp.in/ssc-cgl-exam/ssc-cgl-2022,12,https://www.shiksha.com/exams/ssc-cgl-exam-vacancies,,,,,,,4,https://byjus.com/ssc-exams/ssc-cgl-notification/,,,14,https://www.embibe.com/exams/ssc-cgl-recruitment/,,,,,7192,Prepp,1900,Vacancy,,Prepp-C2
673,DSSSB previous year question paper,,,13,https://prepp.in/dsssb-exam/practice-papers,,,,,,,36,https://career.aglasem.com/dsssb-papers/,,,99,https://www.fresherslive.com/competitive-exams/dsssb-previous-question-papers-114653,,,,,,,7194,Prepp,1900,Question_Paper,,Prepp-C2
